annotation_raw,annotation_normalized,protein_count,percent,current_status,candidate_level1,candidate_level2,candidate_level3,reason_not_assigned,review_priority,needs_multimodal_evidence,promotion_evidence,family_consistency,embedding_cluster_id,structure_support,neighborhood_support,suggested_next_action,reviewer,review_date,notes,status_rank
nuclease,nuclease,474,0.0186,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
Gp5.5-like host HNS inhibition,Gp5.5-like host HNS inhibition,667,0.0262,parent_only,Gene_expression_reprogramming,Host_takeover_interference,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad host takeover / host physiology interference term; retained as parent-only support bucket in v1.0.2.,1
thymidine kinase,thymidine kinase,524,0.0206,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
transcriptional regulator WhiB-like,transcriptional regulator WhiB-like,533,0.021,parent_only,Gene_expression_reprogramming,Transcription_factor,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad transcription-control term; kept as parent-only scaffold. Consider subtype_hint = generic_tf / antitermination / sigma_reprogramming during training analysis.,1
guanylate kinase,guanylate kinase,353,0.0139,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
endonuclease nicking abasic sites generated by host uracil glycosylase Ung,endonuclease nicking abasic sites generated by host uracil glycosylase Ung,357,0.014,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
goF mRNA metabolism modulator,goF mRNA metabolism modulator,361,0.0142,parent_only,Gene_expression_reprogramming,Host_takeover_interference,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad host takeover / host physiology interference term; retained as parent-only support bucket in v1.0.2.,1
Cas4-domain exonuclease,Cas4-domain exonuclease,365,0.0144,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
Dmd discriminator of mRNA degradation,Dmd discriminator of mRNA degradation,590,0.0232,parent_only,Gene_expression_reprogramming,Host_takeover_interference,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad host takeover / host physiology interference term; retained as parent-only support bucket in v1.0.2.,1
kinase,kinase,592,0.0233,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
NAD synthetase,NAD synthetase,615,0.0242,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
NAD-dependent DNA ligase,NAD-dependent DNA ligase,411,0.0162,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
decoy of host sigma32,decoy of host sigma32,451,0.0177,parent_only,Gene_expression_reprogramming,Host_takeover_interference,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad host takeover / host physiology interference term; retained as parent-only support bucket in v1.0.2.,1
alpha-glucosyltransferase,alpha-glucosyltransferase,453,0.0178,parent_only,Genome_maintenance_propagation,DNA_modification,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
head fiber protein,head fiber protein,480,0.0189,parent_only,Host_interface_entry,Host_recognition,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
thymidylate synthase complementing protein,thymidylate synthase complementing protein,71,0.0028,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
O-acetyltransferase,O-acetyltransferase,74,0.0029,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
intron-like DNA endonuclease,intron-like DNA endonuclease,75,0.0029,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
lysis inhibition,lysis inhibition,948,0.0373,defer,Host_cell_exit,Membrane_disruption,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold,2
restriction endonuclease,restriction endonuclease,75,0.0029,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
ERCC4-type nuclease,ERCC4-type nuclease,75,0.0029,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
dsDNA binding protein,dsDNA binding protein,79,0.0031,parent_only,Gene_expression_reprogramming,Transcription_factor,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad transcription-control term; kept as parent-only scaffold. Consider subtype_hint = generic_tf / antitermination / sigma_reprogramming during training analysis.,1
ParB-like partition nuclease,ParB-like partition nuclease,96,0.0038,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
beta-glucosyltransferase,beta-glucosyltransferase,98,0.0039,parent_only,Genome_maintenance_propagation,DNA_modification,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
protein kinase; inhibitor of host transcription; positively regulates RNaseIII; negatively on RNaseE,protein kinase; inhibitor of host transcription; positively regulates RNaseIII; negatively on RNaseE,100,0.0039,parent_only,Gene_expression_reprogramming,Host_takeover_interference,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad host takeover / host physiology interference term; retained as parent-only support bucket in v1.0.2.,1
PmgG-like head morphogenesis,PmgG-like head morphogenesis,109,0.0043,parent_only,Virion_morphogenesis,Capsid,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
exopolyphosphatase,exopolyphosphatase,297,0.0117,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
Rha-like transcriptional regulator,Rha-like transcriptional regulator,126,0.005,parent_only,Gene_expression_reprogramming,Transcription_factor,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad transcription-control term; kept as parent-only scaffold. Consider subtype_hint = generic_tf / antitermination / sigma_reprogramming during training analysis.,1
DNA endonuclease,DNA endonuclease,129,0.0051,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
Gp5.9-like inihibitor of recBCD nuclease,Gp5.9-like inihibitor of recBCD nuclease,133,0.0052,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
tRNA nucleotidyltransferase,tRNA nucleotidyltransferase,252,0.0099,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
P-like helicase loader,P-like helicase loader,140,0.0055,parent_only,Genome_maintenance_propagation,DNA_replication,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
DNA topoisomerase,DNA topoisomerase,160,0.0063,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
decoy of host sigma70,decoy of host sigma70,174,0.0068,parent_only,Gene_expression_reprogramming,Host_takeover_interference,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad host takeover / host physiology interference term; retained as parent-only support bucket in v1.0.2.,1
homing endonuclease with GIY-YIG motif,homing endonuclease with GIY-YIG motif,182,0.0072,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
QueE-like  radical SAM domain,QueE-like  radical SAM domain,189,0.0074,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
DHH phosphoesterase,DHH phosphoesterase,190,0.0075,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
gam-like host nuclease inhibitor,gam-like host nuclease inhibitor,195,0.0077,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
PAAR motif of membran proteins,PAAR motif of membran proteins,1354,0.0532,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
partition protein ATPase,partition protein ATPase,115,0.0045,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
anti-sigma factor,anti-sigma factor,1449,0.057,parent_only,Gene_expression_reprogramming,Transcription_factor,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad transcription-control term; kept as parent-only scaffold. Consider subtype_hint = generic_tf / antitermination / sigma_reprogramming during training analysis.,1
internal head protein,internal head protein,1455,0.0572,parent_only,Virion_morphogenesis,Capsid,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
DNA end protector,DNA end protector,1559,0.0613,parent_only,Genome_maintenance_propagation,DNA_replication,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
RNA polymerase sigma factor,RNA polymerase sigma factor,1568,0.0617,parent_only,Gene_expression_reprogramming,Transcription_factor,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad transcription-control term; kept as parent-only scaffold. Consider subtype_hint = generic_tf / antitermination / sigma_reprogramming during training analysis.,1
structural protein,structural protein,1627,0.064,parent_only,Virion_morphogenesis,Capsid,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
GtrB glycosyltransferase for O-antigen conversion,GtrB glycosyltransferase for O-antigen conversion,20,0.0008,parent_only,Genome_maintenance_propagation,DNA_modification,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
PmgC-like head morphogenesis,PmgC-like head morphogenesis,20,0.0008,parent_only,Virion_morphogenesis,Capsid,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
PmgB-like head morphogenesis,PmgB-like head morphogenesis,20,0.0008,parent_only,Virion_morphogenesis,Capsid,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
Arc-like transcriptional regulator,Arc-like transcriptional regulator,21,0.0008,parent_only,Gene_expression_reprogramming,Transcription_factor,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad transcription-control term; kept as parent-only scaffold. Consider subtype_hint = generic_tf / antitermination / sigma_reprogramming during training analysis.,1
restriction endonuclease II,restriction endonuclease II,22,0.0009,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
PmgS-like head morphogenesis,PmgS-like head morphogenesis,22,0.0009,parent_only,Virion_morphogenesis,Capsid,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
"3'-phosphatase, 5'-polynucleotide kinase","3'-phosphatase, 5'-polynucleotide kinase",68,0.0027,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
bifunctional heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase,bifunctional heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase,31,0.0012,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
NrdC-like thioredoxin,NrdC-like thioredoxin,31,0.0012,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
exonuclease VII,exonuclease VII,34,0.0013,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
homing endonuclease with LAGLIDADG motif,homing endonuclease with LAGLIDADG motif,40,0.0016,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
dual specificity phosphatase,dual specificity phosphatase,46,0.0018,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
mazG nucleotide pyrophosphohydrolase,mazG nucleotide pyrophosphohydrolase,52,0.002,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
exonuclease V,exonuclease V,52,0.002,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
RecJ-like ssDNA exonuclease,RecJ-like ssDNA exonuclease,60,0.0024,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
ATP-dependent protease,ATP-dependent protease,1059,0.0416,defer,Host_cell_exit,Host_cell_exit_broad,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold,2
head decoration protein,head decoration protein,63,0.0025,parent_only,Virion_morphogenesis,Capsid,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
sigma factor for late transcription,sigma factor for late transcription,67,0.0026,parent_only,Gene_expression_reprogramming,Transcription_factor,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad transcription-control term; kept as parent-only scaffold. Consider subtype_hint = generic_tf / antitermination / sigma_reprogramming during training analysis.,1
"beta-1,4-glycosyltransferase","beta-1,4-glycosyltransferase",68,0.0027,parent_only,Genome_maintenance_propagation,DNA_modification,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
3'-5' exonuclease,3'-5' exonuclease,30,0.0012,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
DNA topoisomerase II,DNA topoisomerase II,1137,0.0447,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
starvation-inducible transcriptional regulator,starvation-inducible transcriptional regulator,1146,0.0451,parent_only,Gene_expression_reprogramming,Transcription_factor,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad transcription-control term; kept as parent-only scaffold. Consider subtype_hint = generic_tf / antitermination / sigma_reprogramming during training analysis.,1
DnaC-like helicase loader,DnaC-like helicase loader,1150,0.0452,parent_only,Genome_maintenance_propagation,DNA_replication,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
DNA helicase loader,DNA helicase loader,1650,0.0649,parent_only,Genome_maintenance_propagation,DNA_replication,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
nicotinamide phosphoribosyl transferase,nicotinamide phosphoribosyl transferase,1675,0.0659,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
GTP-binding domain,GTP-binding domain,1682,0.0661,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
nucleotide pyrophosphohydrolase,nucleotide pyrophosphohydrolase,1213,0.0477,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
terminase,terminase,1220,0.048,parent_only,Virion_morphogenesis,Head_assembly_packaging,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
phosphofructokinase,phosphofructokinase,1255,0.0494,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
dUTPase,dUTPase,1272,0.05,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
phosphoesterase,phosphoesterase,1861,0.0732,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
COOH.NH2 ligase,COOH.NH2 ligase,202,0.0079,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
dihydrofolate reductase,dihydrofolate reductase,1955,0.0769,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
