annotation_raw,annotation_normalized,protein_count,percent,current_status,candidate_level1,candidate_level2,candidate_level3,reason_not_assigned,review_priority,needs_multimodal_evidence,promotion_evidence,family_consistency,embedding_cluster_id,structure_support,neighborhood_support,suggested_next_action,reviewer,review_date,notes
haemolysin-type calcium binding,haemolysin-type calcium binding,75,0.0029,defer,Host_cell_exit,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
"RecA or Sak4, length ?","RecA or Sak4, length ?",71,0.0028,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
MazF-like growth inhibitor,MazF-like growth inhibitor,70,0.0028,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
esterase,esterase,69,0.0027,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
GtrC-like O-antigen conversion translocase,GtrC-like O-antigen conversion translocase,68,0.0027,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
UDP-glucose dehydrogenase,UDP-glucose dehydrogenase,68,0.0027,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
transaldolase,transaldolase,66,0.0026,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
S-adenosylmethionine decarboxylase,S-adenosylmethionine decarboxylase,63,0.0025,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
plastoquinol terminal oxidase,plastoquinol terminal oxidase,63,0.0025,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
tail appendage,tail appendage,62,0.0024,defer,Virion_morphogenesis,,,currently insufficient evidence or unstable boundary for L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
RecX-like filament modulator,RecX-like filament modulator,61,0.0024,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
zinc-finger protease,zinc-finger protease,59,0.0023,defer,Host_cell_exit,Host_cell_exit_broad,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold
threonine dehydratase,threonine dehydratase,58,0.0023,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
UmuD-like protein,UmuD-like protein,58,0.0023,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
DNA repair photolyase,DNA repair photolyase,57,0.0022,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
dATP triphosphohydrolase,dATP triphosphohydrolase,57,0.0022,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
Hsp70 heat shock protein,Hsp70 heat shock protein,56,0.0022,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
Doc-like toxin,Doc-like toxin,56,0.0022,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node
CsrA-like regulator,CsrA-like regulator,56,0.0022,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
poly-gamma-glutamate hydrolase,poly-gamma-glutamate hydrolase,56,0.0022,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
primosomal protein,primosomal protein,55,0.0022,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
sulfatase-modifying factor enzyme,sulfatase-modifying factor enzyme,55,0.0022,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
major coat protein,major coat protein,54,0.0021,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
translation initiation factor,translation initiation factor,54,0.0021,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
pilin,pilin,54,0.0021,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
Galactose-3-O-sulfotransferase,Galactose-3-O-sulfotransferase,53,0.0021,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
lower collar,lower collar,53,0.0021,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
zinc-finger domain protein,zinc-finger domain protein,53,0.0021,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
segregation and condensation complex subunit ScpB,segregation and condensation complex subunit ScpB,52,0.002,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
tryptophan halogenase,tryptophan halogenase,52,0.002,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
PetE plastocyanine,PetE plastocyanine,51,0.002,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
ADP-ribosyltransferase,ADP-ribosyltransferase,50,0.002,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
Ren-like exclusion protein,Ren-like exclusion protein,50,0.002,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
glutathionylspermidine synthase,glutathionylspermidine synthase,50,0.002,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
6-phosphogluconate dehydrogenase,6-phosphogluconate dehydrogenase,50,0.002,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
chaperonin groEL,chaperonin groEL,50,0.002,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
assembly (protein IV of M13),assembly (protein IV of M13),49,0.0019,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
glutamine amidotransferase,glutamine amidotransferase,48,0.0019,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
pectate lyase,pectate lyase,48,0.0019,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
cAMP-dependent Kef-type K+ transporter,cAMP-dependent Kef-type K+ transporter,47,0.0018,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
"dTDP-4-dehydrorhamnose 3,5-epimerase","dTDP-4-dehydrorhamnose 3,5-epimerase",46,0.0018,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
rhodanese-related sulfurtransferase,rhodanese-related sulfurtransferase,45,0.0018,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
RNA replicase beta subunit,RNA replicase beta subunit,45,0.0018,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
head-tail joining,head-tail joining,44,0.0017,defer,Virion_morphogenesis,,,currently insufficient evidence or unstable boundary for L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
morphogenesis (protein I of M13),morphogenesis (protein I of M13),43,0.0017,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
Erf recombination cofactor Arf,Erf recombination cofactor Arf,43,0.0017,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
alpha-2;3-sialyltransferase,alpha-2;3-sialyltransferase,43,0.0017,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
O-antigen acetylase,O-antigen acetylase,43,0.0017,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
adhesin,adhesin,43,0.0017,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
phospho-2-dehydro-3-deoxyheptonate aldolase,phospho-2-dehydro-3-deoxyheptonate aldolase,43,0.0017,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
DNA packaging chaperone FI,DNA packaging chaperone FI,40,0.0016,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
TciB-like inhibition of cell division or resistance to colicin,TciB-like inhibition of cell division or resistance to colicin,40,0.0016,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
sporulation protein,sporulation protein,40,0.0016,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
nucleoside deoxyribosyltransferase,nucleoside deoxyribosyltransferase,39,0.0015,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
dCMP hydroxymethylase,dCMP hydroxymethylase,38,0.0015,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
Avd protein of DGR,Avd protein of DGR,37,0.0015,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
Nol-like carbamoyltransferase,Nol-like carbamoyltransferase,36,0.0014,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
neck passage structure protein,neck passage structure protein,36,0.0014,defer,Virion_morphogenesis,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
zinc carboxypeptidase,zinc carboxypeptidase,36,0.0014,defer,Host_cell_exit,Peptidoglycan_degradation,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold
signal peptide motif,signal peptide motif,35,0.0014,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
deoxycytidinylate deaminase,deoxycytidinylate deaminase,35,0.0014,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
replication,replication,34,0.0013,defer,Genome_maintenance_propagation,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
peptide methionine sulfoxide reductase,peptide methionine sulfoxide reductase,34,0.0013,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
hemagglutinin,hemagglutinin,33,0.0013,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
NrdA-like aerobic NDP reductase large subunit,NrdA-like aerobic NDP reductase large subunit,33,0.0013,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
major head and protease protein,major head and protease protein,32,0.0013,defer,Host_cell_exit,Host_cell_exit_broad,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold
aerobic NDP reductase small subunit,aerobic NDP reductase small subunit,32,0.0013,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
attachment protein,attachment protein,31,0.0012,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
appendage,appendage,31,0.0012,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
quinone oxidoreductase TQO,quinone oxidoreductase TQO,31,0.0012,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
Fe-S oxidoreductase,Fe-S oxidoreductase,28,0.0011,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
end-filament protein,end-filament protein,28,0.0011,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
enterotoxin type A / speL,enterotoxin type A / speL,27,0.0011,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node
HAD-superfamily hydrolase,HAD-superfamily hydrolase,27,0.0011,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
RNA 2'-phosphotransferase,RNA 2'-phosphotransferase,27,0.0011,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
ferredoxin oxidoreductase,ferredoxin oxidoreductase,26,0.001,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
peptide deformylase,peptide deformylase,26,0.001,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
tail tip protein Tal,tail tip protein Tal,23,0.0009,defer,Virion_morphogenesis,,,currently insufficient evidence or unstable boundary for L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
polysaccharide deacetylase,polysaccharide deacetylase,23,0.0009,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
ABC transporter ATP-binding subunit,ABC transporter ATP-binding subunit,23,0.0009,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
DNA binding domain,DNA binding domain,22,0.0009,defer,Gene_expression_reprogramming,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
nucleotidase,nucleotidase,22,0.0009,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
tail tubular protein,tail tubular protein,21,0.0008,defer,Virion_morphogenesis,,,currently insufficient evidence or unstable boundary for L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
Fe-S-cluster redox domain-containing,Fe-S-cluster redox domain-containing,20,0.0008,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
ribosomal protein S21,ribosomal protein S21,20,0.0008,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
lysis determining protein,lysis determining protein,19,0.0007,defer,Host_cell_exit,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
GtrB-like O-antigen conversion,GtrB-like O-antigen conversion,19,0.0007,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
phosphoribosylaminoimidazole synthetase,phosphoribosylaminoimidazole synthetase,19,0.0007,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
alkylated DNA repair,alkylated DNA repair,18,0.0007,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
quaternary ammonium compound-resistance protein QacE,quaternary ammonium compound-resistance protein QacE,18,0.0007,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
RstB sensor of two protein system,RstB sensor of two protein system,18,0.0007,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
Ku-like DNA end binding,Ku-like DNA end binding,18,0.0007,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
phosphoribosylaminoimidazole-succinocarboxamide synthase,phosphoribosylaminoimidazole-succinocarboxamide synthase,18,0.0007,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
beta-lactamase-inhibitor protein BLIP,beta-lactamase-inhibitor protein BLIP,17,0.0007,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
stringent starvation protein Sspb-like,stringent starvation protein Sspb-like,17,0.0007,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
complement inhibitor,complement inhibitor,16,0.0006,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
transcription antiterminator,transcription antiterminator,16,0.0006,defer,Gene_expression_reprogramming,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
sigma 54 modulation protein/ribosomal protein S30EA,sigma 54 modulation protein/ribosomal protein S30EA,16,0.0006,defer,Gene_expression_reprogramming,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
replisome organizer DnaA-like,replisome organizer DnaA-like,15,0.0006,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
ADP-ribosylglycohydrolase,ADP-ribosylglycohydrolase,15,0.0006,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
phosphate transporter subunit,phosphate transporter subunit,15,0.0006,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
Abi alpha-like abortive infection mechanism,Abi alpha-like abortive infection mechanism,14,0.0006,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
pentameric base spike protein,pentameric base spike protein,13,0.0005,defer,Host_interface_entry,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
T3SS secreted effector Ibe,T3SS secreted effector Ibe,13,0.0005,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
Nun-like transcription termination factor,Nun-like transcription termination factor,12,0.0005,defer,Gene_expression_reprogramming,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
flagellar protein,flagellar protein,12,0.0005,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
core encoded pilin,core encoded pilin,12,0.0005,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
peroxyredoxin antioxidant,peroxyredoxin antioxidant,12,0.0005,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
